"species","fruct_age","pollination_type","fruit_type","bot_genus","bot_species"
"Abies alba",60,"cross + wind","cone","Abies","alba"
"Acer campestre",40,"cross + animal","schizocarpic fruit","Acer","campestre"
"Acer platanoides",30,"cross + animal","schizocarpic fruit","Acer","platanoides"
"Acer pseudoplatanus",30,"cross + animal","schizocarpic fruit","Acer","pseudoplatanus"
"Acer spp.",35,"cross + animal","schizocarpic fruit","Acer","spp."
"Alnus spp.",25,"cross + wind","cone","Alnus","spp."
"Betula spp.",25,"cross + wind","wingnut","Betula","spp."
"Carpinus betulus",25,"cross + wind","nut","Carpinus","betulus"
"Castanea sativa",25,"cross + animal","capsule fruit","Castanea","sativa"
"Fagus sylvatica",60,"cross + wind","nut","Fagus","sylvatica"
"Fraxinus excelsior",40,"cross + wind","nut","Fraxinus","excelsior"
"Larix decidua",35,"cross + wind","cone","Larix","decidua"
"Larix kaempferi",35,"cross + wind","cone","Larix","kaempferi"
"Larix spp.",35,"cross + wind","cone","Larix","spp."
"Malus sylvestris",15,"cross + animal","apple fruit","Malus","sylvestris"
"Picea abies",55,"cross + wind","cone","Picea","abies"
"Pinus nigra",40,"cross + wind","cone","Pinus","nigra"
"Pinus spp.",40,"cross + wind","cone","Pinus","spp."
"Populus balsamifera",10,"cross + wind","capsule fruit","Populus","balsamifera"
"Prunus avium",20,"cross + wind","drupe","Prunus","avium"
"Pseudotsuga menziesii",25,"cross + wind","cone","Pseudotsuga","menziesii"
"Pyrus pyraster",15,"cross + animal","apple fruit","Pyrus","pyraster"
"Quercus rubra",50,"cross + wind","nut","Quercus","rubra"
"Quercus spp.",65,"cross + wind","nut","Quercus","spp."
"Robinia pseudoacacia",20,"cross + animal","legume","Robinia","pseudoacacia"
"Salix spp.",15,"cross + animal","capsule fruit","Salix","spp."
"Sorbus aria",15,"cross + animal","apple fruit","Sorbus","aria"
"Sorbus domestica",10,"cross + animal","apple fruit","Sorbus","domestica"
"Sorbus spp.",10,"cross + animal","apple fruit","Sorbus","spp."
"Sorbus torminalis",15,"cross + animal","apple fruit","Sorbus","torminalis"
"Taxus baccata",30,"wind","cone","Taxus","baccata"
"Tilia spp.",40,"cross + animal","nut","Tilia","spp."
"Ulmus spp.",35,"self","wingnut","Ulmus","spp"
"broadleaf species",NA,"unknown","unknown","broadleaf","species"
"conifer species",NA,"unknown","unknown","conifer","species"
